Year,Country,1a1,1a2,1a3,1b1,1b2,1b3,1b4,2a1,2a2,2a3,2b1,2b2,2b3,2c1,2c2,2c3,2d1,3a1,3b1,3b2,3b3,3b4,3b5,3b6,3b7,3c1,3c2,3c3,4a1,4a2,4a3,4a4,4a5
y7,AT,0.633277,0.332817,0.751819,0.045,0.19,0.177187,0.044,0.782021,0.181038306,0,0.931059828,0.453730264,0.266223524,0.658333333,0.768015957,0.909357,73.8276643,0.644339,0.451693,0.379892,0.087212,0.287566,0.088306,0.696028971,0.219858,0.223239,0.099955,0.162187,38.19,71.2,78.42107099,82.85714286,0.920769231
y7,BE,0.542318,0.263374,0.670516,0.056,0.196,0.326178,0.022,0.837782,0.560804164,0.005333522,0.990674,0.689165259,0.096828804,0.033333333,0.042462364,0.902022,56.2494817,0.653484,0.57226,0.452999,0.228759,0.468712,0.10321,0.555639943,0.24586,0.297079,0.145672,0.154661,46.89,77.2,81.45396825,87.55952381,0.545
y7,BG,0.311791,0.078203,0.437857,0.035,0.282,0.067004,0.046,0.627494,0.222320777,0.0042053,0.933470279,0.847393122,0.847393122,0.25,0.400913089,0.734908,85.65611166,0.252366,0.218007,0.128841,0.062805,0.099345,0.032883,0.679284551,0.100119,0.102616,0.040008,0.036735,9.66,63.8,59.51870748,80.76388889,0.78
y7,CY,0.50206,0.209507,0.597635,0.039,0.194,0.254113,0.027,0.917507,0.255907811,0.001745072,1,0.414322733,0.414322733,0.666666667,0.749559259,0.906592,64.18880345,0.662247,0.338407,0.422882,0.061648,0.422182,0.02591,0.643633985,0.130544,0.166722,0.046967,0.077736,41.15,49,63.62301587,84.68253968,0.913461538
y7,CZ,0.596882,0.240554,0.659327,0.046,0.1,0.247386,0.05,0.840578,0.268092528,0.007664975,0.926372656,0.524669788,0.357731044,0.666666667,0.493879862,0.853578,67.21862317,0.525354,0.377003,0.239647,0.091235,0.399938,0.044599,0.557803468,0.12199,0.234452,0.166253,0.112361,49.26,41.9,76.16564626,83.75,0.742692308
y7,DE,0.489231,0.188442,0.64746,0.049,0.19,0.237553,0.049,0.818424,0.293694211,0.024626523,0.959,0.7493,0.154273687,1,0.865120995,0.867479,80.36299128,0.589286,0.37796,0.29822,0.178326,0.318252,0.105585,0.568595041,0.176941,0.190812,0.101678,0.101677,26.91,43.3,78.44143991,80.66815476,0.89
y7,DK,0.686491,0.373744,0.756723,0.056,0.229,0.302031,0.054,0.841855,0.493929948,0.072470953,0.976609981,0.948950361,0.741086264,0.991666667,0.98,0.970857,57.93175877,0.793814,0.502873,0.362394,0.270336,0.622206,0.238861,0.538523089,0.573369,0.375806,0.178459,0.139095,72.45,87.3,84.04761905,88.69047619,0.913076923
y7,EE,0.563712,0.27678,0.664681,0.062,0.226,0.170119,0.084,0.832461,0.200602328,0.000394237,0.901911723,0.734033204,0.734033204,0,0.18315,0.873242,70.46479196,0.539973,0.225818,0.224093,0.098842,0.505198,0.027738,0.622222222,0.623847,0.179942,0.124216,0.089234,53.7,87.5,94.03605442,98.75,0.942307692
y7,EL,0.524795,0.216994,0.622857,0.028,0.213,0.120403,0.035,0.815293,0.08534775,0,0.916566182,0.198128201,0.198128201,0.991666667,0.66101585,0.764608,57.58270193,0.387722,0.345343,0.289857,0.128675,0.16808,0.042446,0.651454832,0.119405473,0.195338,0.105972,0.072745,50.42,54.4,64.59977324,73.69791667,0.821538462
y7,ES,0.641647,0.380567,0.735202,0.041,0.194,0.201202,0.04,0.829171,0.718082597,0.000177806,0.943888915,0.938360675,0.889268411,0.65,0.588891249,0.938921,82.77828972,0.596826,0.490896,0.392777,0.089719,0.270188,0.076652,0.760626398,0.328409,0.253995,0.091283,0.090459,41.18,82.8,86.18571429,91,0.947307692
y7,FI,0.79178,0.481343,0.829109,0.074,0.239,0.376678,0.075,0.608779,0.288386366,0.014518307,0.747814488,0.680109507,0.400184819,0.991666667,0.715684525,0.96251,79.06253439,0.816399,0.482682,0.506906,0.216212,0.662799,0.157888,0.76674938,0.828682,0.226783,0.154743917,0.077387,76.75,89.8,91.61904762,100,0.858461538
y7,FR,0.619583,0.312482,0.761472,0.045,0.209,0.148243,0.036,0.795479,0.349257706,0.267475815,0.736566145,0.633820955,0.633820955,0.591666667,0.744089323,0.876092,76.05891596,0.469899,0.452699,0.260419,0.217211,0.25281,0.066654,0.545643095,0.2339,0.117812,0.130942,0.062768,48.44,47.3,71.29002268,79.30555556,0.975
y7,HR,0.633744,0.311805,0.81254,0.036,0.209,0.229255,0.047,0.746531,0.162397963,0,0.877910374,0.51696201,0.387449789,1,0.338108184,0.809368,56.93644454,0.496582,0.237736,0.236239,0.135567,0.345702,0.087384,0.749486111,0.430032,0.291607,0.134413,0.128342,42.94,38.3,71.11904762,66.80555556,0.836923077
y7,HU,0.490938,0.21537,0.591041,0.039,0.14,0.159708,0.031,0.833071,0.61453427,0.218162622,0.967412227,0.786293357,0.641613166,0.602777778,0.176072978,0.843654,70.10620944,0.344822,0.209473,0.129247,0.069869,0.20596,0.02977,0.651408451,0.134997,0.178663,0.105601,0.068364,39.3,60,67.87437642,76.25,0.576538462
y7,IE,0.704911,0.396931,0.769711,0.063,0.2,0.270382,0.086,0.80464,0.374628945,0.042665397,0.963871823,0.887360608,0.622392351,0.291666667,0.72097121,0.983865,59.31975007,0.641921,0.236317,0.322938,0.226841,0.473949,0.078797,0.671807683,0.187204,0.331223,0.222827,0.112154,57.94,61.3,81.07142857,100,0.952307692
y7,IT,0.455955,0.225178,0.57743,0.038,0.161,0.154858,0.014,0.656792,0.37594598,0.070638767,0.970080243,0.441624918,0.441624918,0.6,0.997163546,0.795598,76.03073984,0.603147,0.323116,0.273058,0.085549,0.5188,0.061747,0.602860173,0.948831,0.127434,0.094032,0.071117,30.99,47.1,67.90986395,74.71180556,0.920384615
y7,LT,0.488407,0.230058,0.612368,0.038,0.237,0.137145,0.04,0.669632,0.35888649,0.007159625,0.848082776,0.782341912,0.781600977,0.054166667,0.333100485,0.848432,89.3846157,0.566949,0.447977,0.217283,0.105468,0.276878,0.044526,0.741966369,0.266941,0.315957,0.178855,0.12394,32.17,93.4,83.84744898,94.375,0.891923077
y7,LU,0.637903,0.318106,0.802844,0.067,0.197,0.211174,0.064,0.907701,0.627530435,0.039974909,0.994,0.959,0.752,0.608333333,0.126861258,0.958542,67.4365152,0.539111,0.398485,0.33505,0.18659,0.289872,0.13003,0.8,0.136488,0.085567,0.032967728,0.070424,53.29,71.9,94.77678571,96.66666667,0.663461538
y7,LV,0.508044,0.237904,0.636676,0.038,0.226,0.167026,0.046,0.654993,0.434784816,0,0.938610265,0.906793864,0.894692171,0.625,0,0.859701,76.17673556,0.381363,0.389328,0.255557,0.085431,0.222069,0.03723,0.653976905,0.148808,0.141385,0.075134,0.066645,41.68,76.3,87.1707483,85.83333333,0.767307692
y7,MT,0.612255,0.354889,0.714552,0.049,0.256,0.28249,0.065,0.880434,0.525450926,0.024328303,1,1,0.48,0.25,0.2,0.868292,65.36081338,0.728283,0.388323,0.424947,0.300468,0.474785,0.101582,0.745922095,0.224871,0.263761,0.068521,0.132872,53.46,88.4,100,97.22222222,0.514615385
y7,NL,0.78944,0.517658,0.833398,0.067,0.175,0.241816,0.034,0.969724,0.466993542,0,0.99179701,0.906417989,0.519436712,0.333333333,0.97001941,0.939957,67.6618439,0.753347,0.427287,0.486492,0.273002,0.602475,0.131044,0.635859519,0.254,0.227095,0.149265,0.12859,69.74,94,84.62063492,89.44444444,0.915769231
y7,PL,0.429256,0.206446,0.570829,0.035,0.155,0.17753,0.037,0.688091,0.431855656,0.020945193,0.781613772,0.699657165,0.519229873,0,0.342482553,0.83753,87.4661314,0.398252,0.319363,0.178317,0.084703,0.191742,0.028622,0.596633807,0.132321,0.139451,0.08514272,0.054265,29.27,78.3,59.91746032,72.74305556,0.945
y7,PT,0.553086,0.285442,0.609253,0.047,0.207,0.2292,0.026,0.814932,0.678777388,0.018894749,0.90542971,0.90542971,0.87645279,0.611111111,0,0.816392,58.34588701,0.519129,0.518964,0.261329,0.106056,0.289684,0.173256,0.855329949,0.174009,0.15631,0.127277,0.081002,39.85,81.5,77.83004535,81.94444444,0.658076923
y7,RO,0.278218,0.087272,0.414552,0.026,0.26,0.059009,0.067,0.659743,0.565750666,0.089772184,0.933217926,0.870864932,0.870864932,0.216666667,0.248706118,0.82408,96.51634075,0.222299,0.168083,0.116845,0.050956,0.113267,0.013826,0.679245283,0.169453,0.117139,0.073753,0.040963,10.3,40.7,47.58424036,44.61309524,0.755384615
