Country,O_Av_Citiz,O_Av_Bus,Mob_F,U_Supp,Transparency,CB_O_Av_Citiz,CB_O_Av_Bus,CB_U_Supp
AT,88.3750218,97.14285714,99.13960114,93.65079365,68.35906157,63.19047619,65.71428571,66.66666667
BE,87.6547619,97.5,99.33333333,96.82539683,63.35890653,56.73412698,64.52380952,88.88888889
BG,74.58503401,97.1875,93.6456229,85.71428571,50.80794911,42.52380952,55.27777778,70.37037037
CY,59.9047619,92.59722222,84.04618258,76.19047619,30.56870958,52.38095238,79,92.59259259
CZ,83.1031746,100,81.13859494,82.53968254,54.39882422,67.64285714,61.5,51.85185185
DE,87.52369615,95.1875,94.92145874,92.06349206,49.06805521,63.95238095,64.52380952,62.96296296
DK,98.74603175,100,99.28395062,92.06349206,75.88771311,67.81746032,77.38095238,77.77777778
EE,94.7047619,100,96.99074074,93.65079365,86.49448224,89.48979592,95,92.59259259
EL,80.41496599,86.875,81.96825397,98.41269841,48.75453515,24.28571429,8.333333333,51.85185185
ES,95.09047619,96.25,90.44120718,98.41269841,72.39458987,79.04761905,91,74.07407407
FI,97.57142857,100,99.77777778,100,70.53321576,82.0952381,85,92.59259259
FR,91.04404762,97.5,97.2654321,95.23809524,64.94742063,47.8015873,62.77777778,44.44444444
HR,87.09410431,97.5,88.6031746,82.53968254,51.36898463,50.95238095,38.61111111,66.66666667
HU,93.20907029,100,83.95500052,85.71428571,49.76719577,35.5952381,47.5,48.14814815
IE,87.46598639,100,99.06525573,88.88888889,71.24339674,72.5,100,96.2962963
IT,85.38860544,94.23611111,91.17889631,100,49.29531998,49.34126984,63.25,51.85185185
LT,89.67619048,99.375,91.36111111,98.41269841,75.33752205,74.5952381,86.25,62.96296296
LU,92.46173469,100,94.88536155,95.23809524,88.29176115,94.4047619,93.33333333,100
LV,90.81428571,100,95.14109347,92.06349206,72.33171664,83.83333333,71.66666667,62.96296296
MT,99.28571429,100,97.77777778,100,97.94914756,100,94.44444444,100
NL,93.33877551,96.66666667,95.20987654,98.41269841,81.44116906,75.77777778,78.88888889,100
PL,79.94943311,90.625,93.69047619,87.3015873,42.21403376,34.6462585,48.61111111,33.33333333
PT,95.62040816,100,88.36507937,95.23809524,70.32364016,62.18253968,63.88888889,81.48148148
RO,64.23764172,73.26785714,74.79100529,92.06349206,41.02415946,24.24603175,11.26984127,51.85185185
SE,93.3968254,94.44444444,100,90.47619048,63.49566432,77.42857143,81.25,62.96296296
SI,86.49028183,93.75,89.88580247,93.65079365,62.31053162,50.52380952,74.16666667,66.66666667
SK,82.22789116,92.8125,82.92468098,88.88888889,44.08713362,47.55102041,56.26984127,59.25925926
