Country,O_Av_Citiz,O_Av_Bus,Mob_F,U_Supp,Transparency,CB_O_Av_Citiz,CB_O_Av_Bus,CB_U_Supp
AT,89.8,97.1,99.4,93.7,71.1,67.1,68.6,66.7
BE,88.5,97.5,99.7,96.8,65.5,74.4,77.6,88.9
BG,76.7,93.8,95.3,82.5,51.2,42.4,67.8,81.5
CY,64.5,91.5,82.9,71.4,31.9,62.7,77.9,92.6
CZ,82.9,100,80.1,84.1,57.3,69.4,67.5,51.9
DE,88.3,96.8,96.3,92.1,49.2,68.6,64.5,70.4
DK,99.5,100,99.3,92.1,78,68.6,77.4,77.8
EE,94.5,100,96.7,95.2,86.7,93.6,97.5,100
EL,89.8,96.6,84.6,100,52.4,39.4,50.8,48.1
ES,96.9,99.5,92.5,100,72.7,75.4,82.5,74.1
FI,98.3,100,100,100,71.5,85,100,92.6
FR,90.6,97.5,96.7,95.2,64.9,52,61.1,44.4
HR,89.5,97.5,89.6,87.3,52.4,52.7,36.1,85.2
HU,93.4,100,84.9,85.7,56.6,42.4,52.5,51.9
IE,87.5,100,98.2,88.9,70.8,74.6,100,96.3
IT,89.1,94.7,91.4,100,49.2,46.7,54.8,55.6
LT,89.4,100,97.4,98.4,77.7,78.3,88.8,66.7
LU,94.2,100,96.7,95.2,89.7,95.4,93.3,100
LV,90.5,100,98,92.1,71.3,83.8,71.7,85.2
MT,100,100,98.9,100,98.2,100,94.4,100
NL,93.4,100,97.7,98.4,81.3,75.9,78.9,100
PL,82.4,96.9,93,95.2,56.8,37.5,48.6,44.4
PT,95.6,100,89.7,95.2,70.9,60,63.9,81.5
RO,66.8,83.7,77.2,92.1,43.8,28.4,5.6,44.4
SE,95.3,94.4,100,90.5,66.3,81,81.3,66.7
SI,90.8,96.3,93.9,93.7,64.2,52,69.2,70.4
SK,84.3,92.8,88.2,90.5,46.1,50.2,63.1,70.4
